DRR014873	AMPLICON
DRR014874	AMPLICON
DRR014875	AMPLICON
DRR014876	AMPLICON
DRR014877	AMPLICON
DRR014878	AMPLICON
DRR014879	AMPLICON
DRR014880	AMPLICON
DRR014881	AMPLICON
DRR018652	AMPLICON
DRR018653	AMPLICON
DRR018654	AMPLICON
DRR018655	AMPLICON
DRR018656	AMPLICON
DRR018657	AMPLICON
DRR018658	AMPLICON
DRR018659	AMPLICON
DRR018660	AMPLICON
DRR018661	AMPLICON
DRR018662	AMPLICON
DRR018663	AMPLICON
DRR018664	AMPLICON
DRR018665	AMPLICON
DRR018666	AMPLICON
DRR018667	AMPLICON
DRR018668	AMPLICON
DRR018669	AMPLICON
DRR018670	AMPLICON
DRR018671	AMPLICON
DRR018672	AMPLICON
DRR018673	AMPLICON
DRR018674	AMPLICON
DRR018675	AMPLICON
DRR018676	AMPLICON
DRR018677	AMPLICON
DRR018678	AMPLICON
DRR018679	AMPLICON
DRR018680	AMPLICON
DRR018681	AMPLICON
DRR018682	AMPLICON
DRR018683	AMPLICON
DRR018684	AMPLICON
DRR018685	AMPLICON
DRR018686	AMPLICON
DRR018687	AMPLICON
DRR018688	AMPLICON
DRR018689	AMPLICON
DRR018690	AMPLICON
DRR018691	AMPLICON
DRR018692	AMPLICON
DRR018693	AMPLICON
DRR018694	AMPLICON
DRR018695	AMPLICON
DRR018696	AMPLICON
DRR018697	AMPLICON
DRR018698	AMPLICON
DRR018699	AMPLICON
DRR018700	AMPLICON
DRR018701	AMPLICON
DRR018702	AMPLICON
DRR018703	AMPLICON
DRR018704	AMPLICON
DRR018705	AMPLICON
DRR018706	AMPLICON
DRR018707	AMPLICON
DRR018708	AMPLICON
DRR018709	AMPLICON
DRR018710	AMPLICON
DRR018711	AMPLICON
DRR018712	AMPLICON
DRR018713	AMPLICON
DRR018714	AMPLICON
DRR018715	AMPLICON
DRR018716	AMPLICON
DRR018717	AMPLICON
DRR018718	AMPLICON
DRR018719	AMPLICON
DRR018720	AMPLICON
DRR018721	AMPLICON
DRR018722	AMPLICON
DRR018723	AMPLICON
DRR018724	AMPLICON
DRR018725	AMPLICON
DRR018726	AMPLICON
DRR018727	AMPLICON
DRR018728	AMPLICON
DRR018729	AMPLICON
DRR018730	AMPLICON
DRR018731	AMPLICON
DRR018732	AMPLICON
DRR018733	AMPLICON
DRR018734	AMPLICON
DRR018735	AMPLICON
DRR018736	AMPLICON
DRR018737	AMPLICON
DRR018738	AMPLICON
DRR018739	AMPLICON
DRR018740	AMPLICON
DRR018741	AMPLICON
DRR018742	AMPLICON
DRR018743	AMPLICON
DRR018744	AMPLICON
DRR018745	AMPLICON
DRR018746	AMPLICON
DRR018747	AMPLICON
DRR018748	AMPLICON
DRR018749	AMPLICON
DRR018750	AMPLICON
DRR018751	AMPLICON
DRR018752	AMPLICON
DRR018753	AMPLICON
DRR018754	AMPLICON
DRR018755	AMPLICON
DRR018756	AMPLICON
DRR018757	AMPLICON
DRR018758	AMPLICON
DRR018759	AMPLICON
DRR018760	AMPLICON
DRR018761	AMPLICON
DRR018762	AMPLICON
DRR018763	AMPLICON
DRR018764	AMPLICON
DRR018765	AMPLICON
DRR018766	AMPLICON
DRR018767	AMPLICON
DRR018768	AMPLICON
DRR018769	AMPLICON
DRR018770	AMPLICON
DRR018771	AMPLICON
DRR018772	AMPLICON
DRR018773	AMPLICON
DRR018774	AMPLICON
DRR018775	AMPLICON
DRR018776	AMPLICON
DRR018777	AMPLICON
DRR018778	AMPLICON
DRR018779	AMPLICON
DRR018780	AMPLICON
DRR018781	AMPLICON
DRR018782	AMPLICON
DRR018783	AMPLICON
DRR018784	AMPLICON
DRR018785	AMPLICON
DRR018786	AMPLICON
DRR018787	AMPLICON
DRR018788	AMPLICON
DRR018789	AMPLICON
DRR018790	AMPLICON
DRR018791	AMPLICON
DRR019512	AMPLICON
DRR021718	AMPLICON
DRR021719	AMPLICON
DRR021720	AMPLICON
DRR021721	AMPLICON
DRR021722	AMPLICON
DRR021723	AMPLICON
DRR021724	AMPLICON
DRR021725	AMPLICON
DRR021726	AMPLICON
DRR021727	AMPLICON
